Year,Date,Exact Location,Reported Issue,Severity,Latitude,Longitude,Suggestions and Safety Measures
2022,Month 1,Trichy Road – Singanallur Junction,Over speeding,Fatal,11.000676,77.029471,"Install speed breakers, speed cameras, rumble strips"
2023,Month 2,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.012804,76.986137,"Adaptive traffic signals, strict signal enforcement"
2024,Month 3,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.026518,77.021309,"Improved lighting, reflective road markings"
2025,Month 4,Saravanampatti – Sathy Road Junction,Traffic congestion,Fatal,11.247116,77.110193,"Junction redesign, dedicated turning lanes"
2022,Month 5,Ganapathy Moor Market Junction,Pedestrian conflict,Non-Fatal,11.036167,76.978167,"Zebra crossings, pedestrian signals"
2023,Month 6,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.003749,77.063997,"Truck time restrictions, warning boards"
2024,Month 7,Palakkad Road – Kuniamuthur,Road narrowing,Fatal,10.970292,76.956246,"Road widening, lane discipline enforcement"
2025,Month 8,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.151637,76.944428,"High-mast lighting, night patrols"
2022,Month 9,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.899408,76.999299,"Breathalyzer checks, awareness drives"
2023,Month 10,Ukkadam Flyover,Wrong-way driving,Fatal,10.974761,76.96199,"Median barriers, CCTV monitoring"
2025,April,"Annur–Coimbatore Road, Kurukampalayam Pirivu",Motorcycle collided head-on with a mini truck due to overspeeding,Fatal (2 deaths),11.112608,77.029024,"Install speed breakers near pirivu, place advance warning signboards, "
2025,April,Alankombu–Karamadai Road near Sirumugai,Speeding motorcycle hit an autorickshaw on a narrow road,Fatal (3 deaths),11.311329,76.993828,"Widen road shoulders, restrict overspeeding through rumble strips,"
2024,October,Pollachi–aliyar  River Bridge,Two-wheeler collided with a bus on a curve section,Non Fatal,10.482065,76.961787,"Install crash barriers on curves, add curve warning boards"
2025,June,Kempatti Colony road,Goods auto hit a pedestrian child in residential area,Fatal (1 death),10.98656,76.955193,"Declare residential slow-speed zone, install speed humps, and place pedestrian crossing signs"
2025,September,"Kamarajar Road, Singanallur",Rice-loaded van ran over a traffic police inspector,Fatal (1 death),11.013161,77.023987,Restrict heavy vehicle movement during peak hours and install barricaded police check zones
2026,January,"Oppanakkara Street, Ukkadam",Driver lost control after medical seizure and hit pedestrians,Fatal (1 death),10.995435,76.959329," install pedestrian railings, and reduce vehicle speed limits in crowded street"
2026,January,"Avinashi Road, Peelamedu",Speeding car rammed into another vehicle,Fatal (1 death),11.030884,77.028415,"Reinstate traffic signals, deploy speed detection cameras, and improve lane discipline markings"
2025,September,Vadakkipalayam–Nadupuni Road,Two-wheeler collided with tractor during night hours,Fatal (2 deaths),10.729014,76.936949,Mandate reflective tapes on slow-moving vehicles and improve street lighting
2025,March,"Uppilipalayam–SITRA stretch, Avinashi Road",Frequent accidents due to signal removal and high traffic flow,Mixed,11.037229,77.036315,"Restore traffic signals, redesign U-turns, and deploy traffic police during peak hours"
2025,January,Singanallur Junction,High accident frequency at busy junction,Mixed,11.000671,77.029845,"Improve signal timing, add lane separation markings, and install CCTV-based traffic monitoring"
2025,January,Gandhipuram Bus Stand Exit Road,City bus knocked down a pedestrian during peak hour congestion,Fatal (1 death),11.014732,76.967789,Create barricaded pedestrian pathways and deploy traffic marshals
2025,February,Trichy Road near Ramanathapuram Flyover,Two-wheeler skidded due to oil spill on road surface,Non-Fatal,10.997197,76.995678,"Ensure regular road surface inspection, quick removal of spills, and install caution boards"
2025,February,Mettupalayam Road near GN Mills Junction,Lorry hit a motorcycle while overtaking improperly,Fatal (1 death),11.063912,76.943776,Enforce lane discipline for heavy vehicles and install overtaking restriction signboards
2025,March,Sathyamangalam Road near Saravanampatti,College student hit by speeding car while crossing road,Fatal (1 death),11.246381,77.109577,Construct pedestrian foot overbridge and introduce school/college zone speed limits
2025,March,Ukkadam–Perur Road near Selva Chinthamani Kulam,Auto-rickshaw overturned due to sharp curve,Non-Fatal,10.983962,76.930571,"Redesign curve geometry, add chevron signs, and reduce permissible speed"
2025,April,Avinashi Road near Hopes College Signal,Rear-end collision due to sudden braking in traffic,Non-Fatal,11.026164,77.020958,Improve signal countdown timers and install advance stop-line markings
2025,May,Kalapatti Road near Nehru Nagar,Two-wheelers collided during night hours with poor visibility,Fatal (1 death),11.068209,77.037594,Improve street lighting and mandate reflective gear for night riders
2026,January,MTP Road near Thudiyalur Bypass,Multi-vehicle pile-up due to foggy conditions,Non-Fatal,11.070711,76.942447,Install fog warning systems and reduce speed limits during low visibility
2026,January,Podanur Road near Railway Level Crossing,Bike hit by train-side barricade during crossing closure,Fatal (1 death),10.964768,76.98758,Improve level-crossing barricade visibility and install audible warning systems
2026,February,Singanallur–Vellalore Road,Drunk driving led to vehicle losing control and hitting divider,Fatal (1 death),10.971953,77.013164,Increase late-night DUI checks and install crash-absorbing median barriers
2025,October,"Near GD Naidu Flyover, Goldwins",Car rammed into stationary lorry at night,Fatal,11.024496,77.006783,Install reflective rumble strips before flyover exits and enforce night speed limits
2025,June,Karumathampatti near Senniandavar Temple,Electric bus hit median and burst into flames,Non-Fatal,11.125263,77.195793,Improve median visibility and conduct driver fatigue monitoring
2025,September,Avinashi Road (Uppilipalayam–SITRA),Accidents increased after signal removal,Mixed,11.031441,77.029148,Reintroduce traffic signals and pedestrian crossings
2025,December,"Sindhamanipudur Signal, Neelambur",Sub-inspector hit from rear by speeding car,Fatal,11.049412,77.057126,Enforce rear-end collision prevention zones
2026,January,Coimbatore–Tirupur Road near New Tirupur,Car lost control and hit truck,Fatal,11.102757,77.294383,Install crash cushions at sharp curves
2024,November,Kottur–Angalakurichi Road,Special SI knocked down by speeding bike,Fatal,10.525043,76.992987,Strict speed enforcement and warning boards
2025,March,Multiple city locations,249 accidents in two and half months,Mixed,11.017682,76.953917,Continuous awareness campaigns and DUI enforcement
2025,October,Race Course Area,High-speed crash during night celebration,Fatal,11.003001,76.978126,Night-time DUI checkpoints and youth awareness
2024,October,VKK Menon Road,Taxi hit high-tension electric pole,Non-Fatal,11.018411,76.974032,Remove roadside hazards and install safety barriers
2024,Month 11,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,10.998867,77.020728,"Install speed breakers, speed cameras, rumble strips"
2025,Month 12,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.012995,76.985985,"Adaptive traffic signals, strict signal enforcement"
2022,Month 1,Hopes College Railway Bridge,Poor visibility,Fatal,11.026439,77.021138,"Improved lighting, reflective road markings"
2023,Month 2,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.071399,77.002123,"Junction redesign, dedicated turning lanes"
2024,Month 3,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.078511,76.941574,"Zebra crossings, pedestrian signals"
2025,Month 4,Kamatchipuram Checkpost,Heavy vehicle movement,Fatal,11.078511,76.941575,"Truck time restrictions, warning boards"
2022,Month 5,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,11.078511,76.941576,"Road widening, lane discipline enforcement"
2023,Month 6,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.148783,76.944085,"High-mast lighting, night patrols"
2024,Month 7,Pollachi Road – Malumichampatti,Drunk driving,Fatal,10.854347,77.014171,"Breathalyzer checks, awareness drives"
2025,Month 8,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.974793,76.961697,"Median barriers, CCTV monitoring"
2022,Month 9,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,10.998391,77.018483,"Install speed breakers, speed cameras, rumble strips"
2023,Month 10,Avinashi Road – Lakshmi Mills Junction,Signal violation,Fatal,11.012808,76.986182,"Adaptive traffic signals, strict signal enforcement"
2024,Month 11,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.025482,77.014592,"Improved lighting, reflective road markings"
2025,Month 12,Saravanampatti – Sathy Road Junction,Traffic congestion,Non-Fatal,11.079479,77.004333,"Junction redesign, dedicated turning lanes"
2022,Month 1,Thudiyalur road,Pedestrian conflict,Fatal,11.078511,76.941574,"Zebra crossings, pedestrian signals"
2023,Month 2,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,11.078511,76.941575,"Truck time restrictions, warning boards"
2024,Month 3,Palakkad Road – Kuniamuthur,Road narrowing,Non-Fatal,11.078511,76.941576,"Road widening, lane discipline enforcement"
2025,Month 4,Mettupalayam Road – GN Mills,Night accidents,Fatal,11.148783,76.944085,"High-mast lighting, night patrols"
2022,Month 5,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.854347,77.014171,"Breathalyzer checks, awareness drives"
2023,Month 6,Ukkadam Flyover,Wrong-way driving,Non-Fatal,10.98796,76.961348,"Median barriers, CCTV monitoring"
2024,Month 7,Trichy Road – Singanallur Junction,Over speeding,Fatal,11.001459,77.034232,"Install speed breakers, speed cameras, rumble strips"
2025,Month 8,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.01265,76.985575,"Adaptive traffic signals, strict signal enforcement"
2022,Month 9,Hopes College Railway Bridge,Poor visibility,Non-Fatal,11.027377,77.020805,"Improved lighting, reflective road markings"
2023,Month 10,Saravanampatti – Sathy Road Junction,Traffic congestion,Fatal,11.086718,77.006617,"Junction redesign, dedicated turning lanes"
2024,Month 11,Thudiyalur road,Pedestrian conflict,Non-Fatal,11.078511,76.941574,"Zebra crossings, pedestrian signals"
2025,Month 12,Kamatchipuram Checkpost,Heavy vehicle movement,Non-Fatal,10.952956,76.9534,"Truck time restrictions, warning boards"
2022,Month 1,Palakkad Road – Kuniamuthur,Road narrowing,Fatal,10.972411,76.958455,"Road widening, lane discipline enforcement"
2023,Month 2,Mettupalayam Road – GN Mills,Night accidents,Non-Fatal,11.150132,76.944215,"High-mast lighting, night patrols"
2024,Month 3,Pollachi Road – Malumichampatti,Drunk driving,Non-Fatal,10.854347,77.014171,"Breathalyzer checks, awareness drives"
2025,Month 4,Ukkadam Flyover,Wrong-way driving,Fatal,10.988087,76.962496,"Median barriers, CCTV monitoring"
2022,Month 5,Trichy Road – Singanallur Junction,Over speeding,Non-Fatal,11.002749,77.028328,"Install speed breakers, speed cameras, rumble strips"
2023,Month 6,Avinashi Road – Lakshmi Mills Junction,Signal violation,Non-Fatal,11.012625,76.986347,"Adaptive traffic signals, strict signal enforcement"
